,basketball,biking,diving,golf_swing,horse_riding,soccer_juggling,swing,tennis_swing,trampoline_jumping,volleyball_spiking,walking
basketball,15,0,56,1,142,54,37,109,70,0,107
biking,0,296,14,1,572,246,593,4,61,0,780
diving,0,8,655,2,192,96,188,4,296,0,188
golf_swing,0,1,0,833,141,87,27,90,73,0,197
horse_riding,1,106,54,7,1479,184,303,37,98,0,803
soccer_juggling,0,7,7,4,85,2704,121,21,98,0,553
swing,0,17,8,1,92,82,1287,1,189,0,449
tennis_swing,0,0,5,0,15,80,6,540,17,0,183
trampoline_jumping,0,6,17,4,48,81,252,4,1143,0,174
volleyball_spiking,0,0,27,0,75,54,32,8,53,0,83
walking,0,7,11,5,178,178,223,21,67,0,1424
